Dato for oprettelse;Dato for afslutning;Indbetalt;Rest;Total;Antal Passagerer;Betalt til klient;Klient rest;betingelser;Jnr.;Flynr.;Fly Selskab
04/08/2018 15.38;11/09/2018 08.51;2.981,00;0;2.981,00;1;2.325,00;0;;96680;7865;Scandinavian Airlines System
04/08/2018 15.47;;0;4.833,95;4.833,95;2;0;2.900,00;;96440;7866;SmartWings
04/08/2018 15.50;;0;1.962,05;1.962,05;1;0;1.450,00;;97219;7867;Norwegian Air Shuttle
04/08/2018 15.57;;0;1.860,00;1.860,00;1;0;1.450,00;;;7868;Flybe
04/08/2018 15.58;11/09/2018 11.12;14.905,00;0;14.905,00;5;11.625,00;0;;96434;7869;Scandinavian Airlines System
04/08/2018 16.11;;0;4.831,49;4.831,49;2;0;2.900,00;;96246;7870;SmartWings
04/08/2018 16.18;;0;4.834,77;4.834,77;2;0;2.900,00;;96436;7871;Ryan Air Service
04/08/2018 16.45;;0;3.823,28;3.823,28;2;0;2.900,00;;96788;7872;Air France
04/08/2018 16.47;26/09/2018 13.44;1.859,45;204,51;2.063,96;1;1.450,00;0;;94749;7873;Norwegian Air Shuttle
04/08/2018 16.56;;0;11.900,00;11.900,00;4;0;9.300,00;;;7874;Thomas Cook Airlines
04/08/2018 16.58;;0;4.831,49;4.831,49;2;0;2.900,00;;96430;7875;Primera Air Scandinavia A/S
04/08/2018 17.30;;0;6.053,94;6.053,94;2;0;4.650,00;;96885;7876;Iberia
04/08/2018 17.40;;0;4.465,00;4.465,00;1;0;3.485,00;;98097;7877;Thomas Cook Airlines
04/08/2018 18.05;;0;5.950,00;5.950,00;2;0;4.650,00;;;7878;TUI Airways
04/08/2018 18.07;;0;9.027,87;9.027,87;4;0;6.920,00;;96789;7879;DAT Danish Air Transport
04/08/2018 19.06;;7.446,95;5.292,42;12.739,37;4;7.446,95;1.853,05;;96186;7880;Norwegian Air Shuttle
04/08/2018 19.07;;0;6.055,25;6.055,25;2;0;4.650,00;;96790;7881;KLM Royal Dutch Airlines
04/08/2018 19.35;;0;12.000,00;12.000,00;4;0;5.720,00;1;94353;7882;Norwegian Air Shuttle
04/08/2018 20.40;;0;13.503,86;13.503,86;3;0;10.455,00;;96886;7883;Swiss International Air Lines
04/08/2018 20.49;;0;1.961,64;1.961,64;1;0;1.450,00;;96791;7884;Vueling Airlines
04/08/2018 21.05;;0;22.439,77;22.439,77;5;0;17.425,00;;96887;7885;AlMasria Universal Airlines
04/08/2018 21.12;10/09/2018 10.24;7.448,00;0;7.448,00;4;5.800,00;0;;;7886;Scandinavian Airlines System
04/08/2018 21.22;;0;17.975,76;17.975,76;4;0;13.940,00;;96792;7887;Air Cairo
04/08/2018 21.22;;0;12.010,50;12.010,50;4;0;9.300,00;;97933;7888;Thomas Cook Airlines
04/08/2018 21.53;;0;8.925,00;8.925,00;3;0;6.975,00;;98353;7889;SunExpress
04/08/2018 21.59;;0;32.725,00;32.725,00;11;0;25.575,00;;98354;7890;Onur Air
04/08/2018 22.38;;0;3.786,81;3.786,81;1;0;2.325,00;;96465;7891;Ryan Air Service
04/08/2018 23.39;;0;5.950,00;5.950,00;2;0;2.860,00;1;94425;7892;Norwegian Air Shuttle
05/08/2018 00.40;;0;12.010,50;12.010,50;4;0;9.300,00;;96793;7893;Delta Air Lines Inc.
05/08/2018 07.18;;0;9.037,88;9.037,88;2;0;6.970,00;;96794;7894;British Airways
05/08/2018 09.00;;0;9.032,87;9.032,87;3;0;6.975,00;;96795;7895;Turkish Airlines
05/08/2018 09.20;;0;1.860,00;1.860,00;1;0;1.450,00;;;7896;EasyJet
05/08/2018 10.29;;0;17.850,00;17.850,00;6;0;13.950,00;;94431;7897;Norwegian Air Shuttle
05/08/2018 10.37;;0;6.055,25;6.055,25;2;0;4.650,00;;96796;7898;Vueling Airlines
05/08/2018 10.38;;0;1.961,64;1.961,64;1;0;1.450,00;;96797;7899;British Airways
05/08/2018 10.42;;0;3.720,00;3.720,00;2;0;2.900,00;;98211;7900;Ryan Air Service
05/08/2018 10.42;;0;6.690,00;6.690,00;3;0;5.190,00;;98528;7901;Olympus Airways
05/08/2018 10.52;;0;6.690,00;6.690,00;3;0;5.190,00;;98529;7902;Olympus Airways
05/08/2018 10.59;;0;4.465,00;4.465,00;1;0;3.485,00;;94411;7903;Norwegian Air Shuttle
05/08/2018 11.31;;0;4.563,93;4.563,93;2;0;3.460,00;;96798;7904;Air France
05/08/2018 11.41;;0;5.950,00;5.950,00;2;0;4.650,00;;98530;7905;Thomas Cook Airlines
05/08/2018 11.43;10/09/2018 10.24;3.726,00;0;3.726,00;2;2.900,00;0;;;7906;Scandinavian Airlines System
