Dato for oprettelse;Dato for afslutning;Indbetalt;Rest;Total;Antal Passagerer;Betalt til klient;Klient rest;betingelser;Jnr.;Flynr.;Fly Selskab
25/09/2015 09.11;15/03/2016 10.09;5.007,64;1.360,06;6.367,70;1;3.576,00;0;;57050;9;Norwegian Air Shuttle
25/09/2015 09.11;07/09/2016 14.21;3.530,98;801;4.331,98;1;1.268,00;461;;60632;10;KLM Royal Dutch Airlines
25/09/2015 09.11;01/11/2016 11.11;8.393,84;990;9.383,84;2;4.768,00;0;1;57100;11;Primera Air Scandinavia A/S
25/09/2015 09.11;19/12/2016 14.28;23.076,00;3.590,00;26.666,00;6;20.098,00;0;1;57101;13;
25/09/2015 09.11;17/06/2016 13.49;11.747,00;2.502,00;14.249,00;5;8.109,59;0;;57102;14;SAS
25/09/2015 09.11;01/11/2016 13.35;11.832,05;1.740,00;13.572,05;5;7.431,85;0;1;57103;15;Primera Air Scandinavia A/S
25/09/2015 09.11;03/08/2016 14.34;14.832,90;42,1;14.875,00;5;11.852,90;0;;;17;Primera Air Scandinavia A/S
25/09/2015 09.11;20/10/2015 16.54;3.730,00;0;3.730,00;2;2.797,50;0;;;23;SAS
25/09/2015 09.11;06/04/2016 10.57;0;25.175,04;25.175,04;5;0;17.425,00;;57104;26;SAS
25/09/2015 09.11;20/10/2015 16.54;1.847,68;12,32;1.860,00;1;1.381,43;0;;;30;Austrian Airlines
25/09/2015 09.11;03/10/2016 13.27;20.830,00;6.870,00;27.700,00;4;14.304,00;0;1;62142;31;Jet Time A/S
25/09/2015 09.11;22/05/2018 15.12;0;12.026,25;12.026,25;4;0;9.300,00;1;71149;32;Jet Time A/S
25/09/2015 09.11;20/10/2015 16.55;8.921,88;3,12;8.925,00;3;6.683,88;0;;;35;Andria Airways d.d.
25/09/2015 09.11;14/07/2016 15.50;0;10.424,82;10.424,82;2;0;6.970,00;;57106;38;Delta Air Lines Inc.
25/09/2015 09.11;12/06/2017 11.36;4.646,43;1,5;4.647,93;1;2.325,00;0;1;57107;39;Primera Air Scandinavia A/S
25/09/2015 09.11;21/02/2017 12.54;8.932,60;5.473,48;14.406,08;2;4.759,12;0;1;57108;40;Primera Air Scandinavia A/S
01/08/2015 12.38;28/07/2016 15.09;2.323,00;3.257,00;5.580,00;3;0;2.027,00;;;41;
19/10/2015 21.50;07/01/2016 15.30;0;17.860,00;17.860,00;4;0;13.940,00;;;43;British Airways
31/10/2015 13.46;15/03/2016 10.09;9.453,54;1.675,00;11.128,54;2;7.152,00;0;;57112;44;Norwegian Air Shuttle
20/11/2015 22.54;15/09/2017 13.57;3.692,93;27,07;3.720,00;2;2.948,86;0;;;46;EasyJet
21/11/2015 08.06;09/02/2018 13.59;8.642,78;0;8.642,78;2;6.970,00;0;1;69311;47;Primera Air Scandinavia A/S
26/11/2015 11.29;20/07/2016 16.14;10.157,29;3.057,29;13.214,58;2;7.397,83;0;;57113;48;Air France
02/12/2015 13.46;16/08/2016 15.50;0;2.975,00;2.975,00;1;0;2.325,00;;;49;BRUSSELS AIRLINES
08/12/2015 14.14;29/08/2016 13.52;0;4.565,00;4.565,00;1;0;3.485,00;;57030;50;TUIfly
16/12/2015 22.57;29/02/2016 09.49;0;22.325,00;22.325,00;5;0;17.425,00;;;52;South African Airways
03/01/2016 17.09;07/09/2016 12.04;0;4.957,20;4.957,20;2;0;2.900,00;;62143;54;SAS
06/01/2016 09.47;13/01/2016 12.53;0;8.930,00;8.930,00;2;0;6.970,00;;;55;Qatar Airways
06/01/2016 19.06;13/01/2016 12.52;0;8.930,00;8.930,00;2;0;6.970,00;;;56;Bangkok Airways
06/01/2016 21.08;13/01/2016 12.51;0;1.860,00;1.860,00;1;0;1.450,00;;;57;European Aeronautical Group UK
07/01/2016 05.29;13/01/2016 12.51;0;4.465,00;4.465,00;1;0;3.485,00;;;59;Air Greenland
07/01/2016 08.17;13/01/2016 12.51;0;4.465,00;4.465,00;1;0;3.485,00;;;61;Airservices Australia
07/01/2016 08.19;13/01/2016 12.51;0;0;0;2;0;2.900,00;;;62;Norwegian Air Shuttle
07/01/2016 08.22;13/01/2016 12.51;0;4.465,00;4.465,00;1;0;3.485,00;;;63;ATA Brasil
07/01/2016 08.23;13/01/2016 12.51;0;3.720,00;3.720,00;2;0;2.900,00;;;64;KLM Royal Dutch Airlines
07/01/2016 08.24;04/07/2018 16.21;0;4.465,00;4.465,00;1;0;3.485,00;;;65;Private flight
07/01/2016 15.44;20/10/2016 10.37;0;17.860,00;17.860,00;4;0;13.940,00;;63409;67;British Airways
11/01/2016 15.57;28/08/2018 09.56;16.757,60;0;16.757,60;4;9.300,00;0;1;62801;68;Corendon Airlines
16/01/2016 18.32;04/02/2016 15.35;4.449,94;15,06;4.465,00;1;3.332,44;0;;;69;TUIfly
18/01/2016 17.16;11/11/2016 13.20;0;2.724,49;2.724,49;1;0;1.450,00;1;62096;70;KLM Royal Dutch Airlines
28/02/2016 10.42;11/12/2017 10.28;12.685,00;0;12.685,00;3;6.975,00;0;1;62571;73;Iberia
01/03/2016 08.43;28/09/2016 09.39;0;9.039,86;9.039,86;2;0;6.970,00;;62802;74;Thomas Cook Airlines Scandinavia
01/03/2016 10.32;05/10/2016 09.10;3.777,10;1.920,00;5.697,10;1;1.341,00;1.250,00;;62097;75;KLM Royal Dutch Airlines
01/03/2016 15.09;15/04/2016 09.19;0;8.930,00;8.930,00;2;0;6.970,00;;;76;Aeroflot Russian Airlines
01/03/2016 20.41;31/10/2016 15.49;0;8.930,00;8.930,00;2;0;6.970,00;;;77;British Airways
05/03/2016 14.29;30/08/2016 11.45;8.923,00;1.960,00;10.883,00;2;6.470,65;0;;62144;78;Qatar Airways
08/03/2016 12.10;09/09/2016 11.36;8.931,00;0;8.931,00;2;7.143,00;0;;;79;British Airways
09/03/2016 15.08;03/08/2016 14.39;4.436,98;28,02;4.465,00;1;3.542,98;0;;;82;Norwegian Air Shuttle
09/03/2016 15.32;16/01/2018 13.10;17.803,00;8.343,77;26.146,77;4;13.940,00;0;1;62098;83;Iberia
09/03/2016 21.37;06/04/2016 10.08;0;13.395,00;13.395,00;3;0;10.455,00;;;84;Air France
10/03/2016 10.36;10/03/2016 11.17;0;0;0;2;0;;;;85;Qatar Airways
10/03/2016 11.44;25/10/2016 08.52;0;10.578,43;10.578,43;2;0;6.970,00;;62099;86;Qatar Airways
13/03/2016 12.12;21/02/2017 12.54;11.859,99;6.676,73;18.536,72;2;7.143,26;0;1;65303;87;AIR CANADA
14/03/2016 17.24;11/04/2016 15.30;0;5.950,00;5.950,00;2;0;4.650,00;;;88;Ryan International Airlines
14/03/2016 17.24;;0;7.661,63;7.661,63;2;0;4.650,00;1;62100;89;Ryan Air Service
17/03/2016 11.38;31/08/2016 15.12;8.922,00;8;8.930,00;2;7.134,00;0;;;90;Qatar Airways
17/03/2016 11.49;25/07/2018 13.28;5.424,49;0;5.424,49;1;2.325,00;0;1;62101;91;Air France
17/03/2016 14.02;31/08/2016 15.13;8.923,00;1.960,00;10.883,00;2;7.135,00;0;;62102;92;Qatar Airways
20/03/2016 12.34;10/08/2016 11.20;8.922,00;8;8.930,00;2;7.134,00;0;;;93;Qatar Airways
21/03/2016 09.07;27/11/2017 16.02;7.991,63;980;8.971,63;1;3.551,68;0;1;61284;94;Qatar Airways
22/03/2016 10.52;21/09/2016 13.05;0;10.684,35;10.684,35;2;0;6.970,00;;62167;95;SAS
22/03/2016 22.17;06/01/2017 11.41;12.135,45;0;12.135,45;5;7.373,77;0;1;62103;96;Norwegian Air Shuttle
23/03/2016 12.41;03/08/2016 14.40;4.436,98;28,02;4.465,00;1;3.542,98;0;;;97;Norwegian Air Shuttle
30/03/2016 14.34;03/08/2016 14.35;22.330,00;0;22.330,00;5;17.860,00;0;;;100;SAS
30/03/2016 19.19;31/08/2016 10.13;0;24.603,14;24.603,14;5;0;17.425,00;;60861;101;AIR CANADA
31/03/2016 17.17;23/09/2016 11.41;4.465,00;2.182,53;6.647,53;1;3.550,50;0;;62104;102;Qatar Airways
01/04/2016 12.12;28/07/2016 15.52;0;5.580,00;5.580,00;3;0;4.350,00;;;103;Atlantic Airways
01/04/2016 12.38;03/11/2016 10.29;8.478,00;3.515,60;11.993,60;2;4.737,64;0;1;62207;104;DAT Danish Air Transport
02/04/2016 19.47;10/05/2016 10.28;1.865,00;0;1.865,00;1;1.490,00;0;;;105;Atlantic Airways
03/04/2016 07.39;28/07/2016 15.58;0;4.465,00;4.465,00;1;0;3.485,00;;60731;106;BRUSSELS AIRLINES
03/04/2016 13.33;13/10/2016 14.55;3.690,37;190;3.880,37;1;1.759,21;0;;62105;107;Air France
03/04/2016 18.27;28/07/2016 16.05;0;17.860,00;17.860,00;4;0;13.940,00;;;108;Cathay Pacific
04/04/2016 11.48;20/10/2016 11.38;0;20.130,68;20.130,68;4;0;13.940,00;;60634;109;British Airways
04/04/2016 12.39;27/01/2017 15.44;8.605,99;990;9.595,99;2;4.761,60;0;1;62106;110;Primera Air Scandinavia A/S
04/04/2016 13.15;22/12/2017 12.43;3.483,79;0;3.483,79;1;1.450,00;0;1;60633;111;British Airways
05/04/2016 14.31;06/09/2016 14.51;20.830,00;3.900,00;24.730,00;6;14.304,00;0;1;62278;112;Thomas Cook Airlines Scandinavia
05/04/2016 21.53;13/10/2016 14.55;3.694,80;190;3.884,80;1;1.757,44;0;;62107;113;Air France
06/04/2016 11.11;27/11/2017 16.01;0;7.620,88;7.620,88;2;0;4.650,00;;62108;114;Primera Air Scandinavia A/S
06/04/2016 16.22;07/02/2017 09.03;0;8.930,00;8.930,00;2;0;6.970,00;;;115;KLM Royal Dutch Airlines
06/04/2016 17.53;11/11/2016 09.44;6.397,00;0;6.397,00;2;4.743,38;0;1;62687;116;Norwegian Air Shuttle
07/04/2016 17.04;14/07/2016 08.53;0;31.255,00;31.255,00;7;0;24.395,00;;;117;SAS
08/04/2016 10.23;29/07/2016 10.46;0;11.900,00;11.900,00;4;0;9.300,00;;;118;TUIfly
08/04/2016 21.15;25/08/2016 15.42;6.844,19;716,19;7.560,38;2;4.842,19;0;1;62206;119;Norwegian Air Shuttle
09/04/2016 20.15;;0;2.794,92;2.794,92;1;0;1.450,00;1;61283;120;Swiss Global Air Lines
10/04/2016 10.32;31/08/2016 12.47;0;5.950,00;5.950,00;2;0;4.650,00;;;121;Norwegian Air Shuttle
12/04/2016 18.33;28/07/2016 16.15;0;4.465,00;4.465,00;1;0;3.485,00;;;122;Cathay Pacific
13/04/2016 09.30;06/06/2016 15.37;1.836,33;23,67;1.860,00;1;1.463,83;0;;;123;EasyJet
13/04/2016 09.38;;0;2.955,94;2.955,94;1;0;1.450,00;1;62109;124;EasyJet
14/04/2016 09.48;24/01/2017 15.40;5.921,56;3.008,44;8.930,00;2;4.135,80;1.048,44;;;125;TUIfly
14/04/2016 10.05;11/10/2016 13.12;5.969,00;0;5.969,00;2;4.768,00;0;;;126;TUIfly
14/04/2016 14.35;24/06/2016 14.14;0;0;0;2;0;;;;127;
15/04/2016 14.02;12/05/2016 08.06;0;3.720,00;3.720,00;2;0;2.900,00;;;128;SAS
15/04/2016 14.17;06/12/2017 11.30;0;13.395,00;13.395,00;3;0;10.455,00;1;62205;129;Air China
15/04/2016 17.33;23/02/2017 13.22;22.005,43;6.688,20;28.693,63;4;14.272,80;0;1;62110;130;Qatar Airways
15/04/2016 17.54;13/05/2016 11.57;1.861,00;0;1.861,00;1;1.488,50;0;;;131;SAS
16/04/2016 14.46;10/09/2018 15.48;9.545,38;50;9.595,38;2;4.650,00;0;1;61384;132;Vueling Airlines
16/04/2016 19.52;04/08/2016 14.30;0;8.930,00;8.930,00;2;0;6.970,00;;;133;Norwegian Air Shuttle
17/04/2016 10.35;30/08/2016 13.25;6.599,42;1.000,00;7.599,42;2;3.576,00;0;1;62230;134;Norwegian Air Shuttle
17/04/2016 15.58;15/11/2016 09.02;11.819,68;1.650,00;13.469,68;2;7.143,07;0;1;62111;135;AIR CANADA
18/04/2016 14.45;28/07/2016 16.25;0;1.860,00;1.860,00;1;0;1.450,00;;;136;DAT Danish Air Transport
18/04/2016 19.57;15/11/2016 09.04;7.349,68;3.549,68;10.899,36;1;3.571,54;0;1;62112;137;AIR CANADA
18/04/2016 20.04;15/11/2016 09.04;4.470,00;2.310,13;6.780,13;1;3.551,09;0;1;62113;138;AIR CANADA
21/04/2016 11.54;11/10/2016 13.12;5.969,00;0;5.969,00;2;4.768,00;0;;;140;TUIfly
21/04/2016 22.02;23/01/2017 11.56;11.158,66;0;11.158,66;4;7.143,07;0;1;64003;142;Air Berlin
26/04/2016 10.25;28/07/2016 16.31;0;8.930,00;8.930,00;2;0;6.970,00;;;144;Qatar Airways
26/04/2016 22.50;01/07/2016 08.23;0;3.720,00;3.720,00;2;0;2.900,00;;;145;BRUSSELS AIRLINES
27/04/2016 13.58;22/11/2017 11.52;20.074,04;131,56;20.205,60;4;13.940,00;0;1;62116;146;Etihad Airways
27/04/2016 14.49;03/08/2016 14.35;5.918,72;3.011,28;8.930,00;2;4.726,72;1.051,28;;;147;TUIfly
27/04/2016 20.29;07/09/2018 13.13;17.492,00;50;17.542,00;4;9.300,00;0;1;62118;148;Vueling Airlines
27/04/2016 20.43;12/10/2016 15.17;2.186,16;43,84;2.230,00;1;1.739,16;0;;;149;Norwegian Air Shuttle
30/04/2016 16.24;12/09/2018 08.36;10.215,88;50;10.265,88;2;4.650,00;0;1;62121;150;Vueling Airlines
01/05/2016 15.32;01/06/2016 10.19;0;5.580,00;5.580,00;3;0;4.350,00;;;151;BRUSSELS AIRLINES
02/05/2016 12.18;26/08/2016 14.40;3.349,37;1.891,41;5.240,78;1;2.384,00;0;;61282;152;Norwegian Air Shuttle
02/05/2016 19.40;03/05/2016 09.14;0;3.720,00;3.720,00;2;0;2.900,00;;;153;Lufthansa
03/05/2016 19.04;30/08/2016 08.22;0;22.325,00;22.325,00;5;0;17.425,00;1;62234;154;Delta Air Lines Inc.
03/05/2016 19.20;07/11/2016 15.24;8.923,00;7;8.930,00;2;7.135,00;0;;;155;Delta Air Lines Inc.
03/05/2016 20.29;03/07/2017 09.18;0;3.720,00;3.720,00;2;0;2.900,00;1;62279;156;Lufthansa
04/05/2016 19.32;17/06/2016 09.22;0;4.465,00;4.465,00;1;0;3.485,00;;;157;Qatar Airways
10/05/2016 12.01;03/08/2016 14.36;3.670,00;50;3.720,00;2;2.925,00;0;;;158;BRUSSELS AIRLINES
11/05/2016 10.28;07/04/2017 11.34;6.624,00;4.187,65;10.811,65;2;4.650,00;0;1;64285;159;Norwegian Air Shuttle
11/05/2016 22.38;23/05/2016 13.13;3.750,00;0;3.750,00;2;2.980,00;0;;;160;Atlantic Airways
12/05/2016 16.12;06/03/2017 14.30;4.691,93;0;4.691,93;1;2.325,00;0;1;62123;161;Primera Air Scandinavia A/S
12/05/2016 17.35;01/11/2016 11.11;4.679,27;340;5.019,27;1;2.384,00;0;1;61281;162;Primera Air Scandinavia A/S
13/05/2016 07.32;18/05/2016 08.47;0;3.720,00;3.720,00;2;0;2.900,00;;;163;
14/05/2016 15.48;19/05/2016 08.42;0;0;0;1;0;;;;164;
15/05/2016 18.02;17/06/2016 08.58;0;11.900,00;11.900,00;4;0;9.300,00;;;165;Primera Air Scandinavia A/S
17/05/2016 12.41;03/10/2017 10.44;6.479,00;0;6.479,00;1;3.485,00;0;1;61285;166;Turkish Airlines
18/05/2016 11.10;19/05/2016 08.07;0;0;0;1;0;;;;167;
18/05/2016 12.42;04/09/2018 11.41;0;6.131,88;6.131,88;2;0;2.900,00;1;61383;168;Austrian Airlines
18/05/2016 18.37;09/08/2016 14.30;8.930,00;0;8.930,00;2;7.142,00;0;;;169;Lufthansa
19/05/2016 18.01;23/05/2016 09.01;0;2.975,00;2.975,00;1;0;2.325,00;;;171;
23/05/2016 12.49;24/05/2016 08.20;0;0;0;1;0;;;;172;
23/05/2016 13.19;03/08/2016 14.37;3.692,30;27,7;3.720,00;2;2.947,30;0;;;173;EasyJet
24/05/2016 07.35;30/06/2016 10.50;1.860,00;0;1.860,00;1;1.487,50;0;;;174;SAS
24/05/2016 09.33;15/02/2018 11.01;0;3.720,00;3.720,00;2;0;2.900,00;;;175;
24/05/2016 12.07;30/06/2016 10.50;1.860,00;0;1.860,00;1;1.487,50;0;;;176;SAS
25/05/2016 10.07;13/09/2017 12.26;0;1.948,32;1.948,32;1;0;1.450,00;1;62290;177;Lufthansa
25/05/2016 12.12;25/01/2017 12.14;4.646,61;650;5.296,61;1;2.353,32;0;1;62811;178;Lufthansa
27/05/2016 11.34;11/10/2016 10.07;0;8.930,00;8.930,00;2;0;6.970,00;;62282;179;Norwegian Air Shuttle
27/05/2016 17.48;30/05/2016 08.15;0;0;0;1;0;;;;180;
30/05/2016 10.49;26/03/2018 17.37;7.030,61;0;7.030,61;1;3.485,00;0;1;62410;181;Iberia
30/05/2016 13.59;22/08/2016 11.21;0;8.930,00;8.930,00;2;0;6.970,00;;62607;182;KLM Royal Dutch Airlines
30/05/2016 20.05;31/05/2016 08.20;0;0;0;2;0;;;;184;
31/05/2016 08.40;11/11/2016 11.27;0;2.677,66;2.677,66;1;0;1.450,00;1;62125;185;KLM Royal Dutch Airlines
31/05/2016 15.45;06/12/2017 10.12;0;7.559,10;7.559,10;2;0;4.650,00;;62126;186;Ryan Air Service
01/06/2016 17.38;31/08/2016 15.11;4.463,00;1.121,41;5.584,41;1;3.560,71;0;;62411;188;British Airways
01/06/2016 20.27;09/05/2017 09.26;5.460,00;375,86;5.835,86;2;3.460,00;0;1;62275;189;Lufthansa
03/06/2016 09.02;25/04/2017 11.37;0;9.153,83;9.153,83;4;0;5.800,00;1;62127;190;Lufthansa
04/06/2016 13.13;27/09/2016 13.03;3.097,15;100;3.197,15;1;1.490,00;0;;62128;191;KLM Royal Dutch Airlines
05/06/2016 17.06;03/01/2018 12.42;2.950,90;11.054,16;14.005,06;4;0;9.300,00;1;62129;192;Ryan Air Service
05/06/2016 18.06;;4.967,02;5.611,77;10.578,79;3;4.967,02;2.007,98;1;62130;193;Ryan Air Service
06/06/2016 08.47;14/07/2016 11.29;5.954,00;0;5.954,00;2;4.762,00;0;;;194;SAS
06/06/2016 12.17;03/08/2016 14.37;11.908,00;0;11.908,00;4;9.524,00;0;;;195;SAS
06/06/2016 13.30;17/11/2016 10.35;11.463,06;0;11.463,06;2;7.143,07;0;1;62730;196;Qatar Airways
06/06/2016 16.54;03/08/2016 14.37;3.667,66;52,34;3.720,00;2;2.922,66;0;;;197;BRUSSELS AIRLINES
06/06/2016 19.30;;1.837,74;2.606,26;4.444,00;2;0;1.062,26;1;67322;198;EasyJet
07/06/2016 10.41;12/07/2016 08.26;0;5.950,00;5.950,00;2;0;4.650,00;;;199;SAS
07/06/2016 17.55;13/06/2016 08.16;0;17.850,00;17.850,00;6;0;13.950,00;;;202;
08/06/2016 09.49;03/08/2016 14.38;1.836,68;23,32;1.860,00;1;1.464,18;0;;;203;Air Berlin
09/06/2016 07.54;;0;3.285,69;3.285,69;1;0;1.450,00;1;65601;204;EasyJet
09/06/2016 13.51;26/07/2016 14.36;4.463,00;2;4.465,00;1;3.569,00;0;;;205;British Airways
09/06/2016 20.57;14/06/2016 08.36;0;2.975,00;2.975,00;1;0;2.325,00;;;206;
09/06/2016 23.06;06/12/2017 10.09;0;5.598,52;5.598,52;1;0;3.485,00;;62131;207;Qatar Airways
10/06/2016 10.42;13/06/2016 13.48;0;11.160,00;11.160,00;6;0;8.700,00;;;208;
10/06/2016 13.09;23/04/2018 16.23;0;3.720,00;3.720,00;2;0;2.900,00;;;209;
12/06/2016 09.39;11/10/2016 10.08;3.694,93;1.150,54;4.845,47;2;1.514,46;640,54;;62132;210;Air Berlin
12/06/2016 11.37;13/08/2018 08.17;6.093,57;110,26;6.203,83;1;3.485,00;0;1;62133;211;Lufthansa
14/06/2016 09.07;10/01/2017 09.32;5.839,56;1.086,03;6.925,59;3;4.461,42;0;1;62134;212;Air Berlin
14/06/2016 19.12;20/07/2016 08.27;0;3.720,00;3.720,00;2;0;2.900,00;;;214;KLM Royal Dutch Airlines
15/06/2016 07.59;01/11/2016 09.05;2.232,00;2.233,00;4.465,00;1;1.338,00;1.253,00;;;215;British Airways
16/06/2016 11.50;17/06/2016 08.28;0;0;0;5;0;;;;216;
18/06/2016 21.59;03/03/2017 08.27;0;0;0;1;0;;;;217;
19/06/2016 12.22;12/09/2018 08.37;17.365,00;50;17.415,00;4;9.300,00;0;1;62135;218;Vueling Airlines
20/06/2016 11.45;23/09/2016 09.55;5.957,04;1.665,64;7.622,68;2;4.754,33;0;;62136;219;Jet Time A/S
20/06/2016 16.50;30/08/2016 13.25;4.351,75;0;4.351,75;1;2.384,00;0;1;62271;220;Norwegian Air Shuttle
21/06/2016 08.31;26/08/2016 14.26;0;1.860,00;1.860,00;1;0;1.450,00;;;221;SAS
21/06/2016 10.23;10/08/2018 14.40;33.737,00;0;33.737,00;8;18.600,00;0;1;62137;222;Vueling Airlines
21/06/2016 20.57;24/06/2016 14.37;0;1.860,00;1.860,00;1;0;1.450,00;;;223;
21/06/2016 21.54;03/08/2016 14.33;0;4.465,00;4.465,00;1;0;3.485,00;;;224;United Airways
22/06/2016 10.47;03/05/2017 11.15;0;13.949,85;13.949,85;4;0;9.300,00;1;62412;225;Ryan Air Service
22/06/2016 19.46;29/09/2017 10.35;1.836,79;377,25;2.214,04;1;1.450,00;0;1;62141;226;EasyJet
22/06/2016 22.39;12/09/2018 08.39;6.293,00;50;6.343,00;1;2.325,00;0;1;62138;227;Vueling Airlines
23/06/2016 14.01;27/11/2017 15.29;6.826,05;0;6.826,05;1;2.325,00;0;1;62139;228;Vueling Airlines
23/06/2016 17.41;17/10/2017 10.13;4.970,79;1.625,42;6.596,21;1;2.325,00;0;1;63952;229;Turkish Airlines
23/06/2016 22.57;27/06/2016 08.23;0;1.860,00;1.860,00;1;0;1.450,00;;;230;
24/06/2016 08.42;12/09/2018 08.44;9.770,00;50;9.820,00;2;4.650,00;0;1;62140;231;Vueling Airlines
24/06/2016 09.04;20/07/2016 13.17;1.860,00;0;1.860,00;1;1.487,50;0;;;232;SAS
26/06/2016 22.11;13/01/2017 11.59;14.889,89;3.405,86;18.295,75;5;11.902,44;0;;62413;233;Norwegian Air Shuttle
26/06/2016 22.18;12/07/2016 09.03;4.414,55;50,45;4.465,00;1;3.520,55;0;;;234;Norwegian Air Shuttle
27/06/2016 12.51;09/08/2016 11.11;0;4.465,00;4.465,00;1;0;3.485,00;;;235;
27/06/2016 21.55;21/09/2016 11.04;1.810,81;410;2.220,81;1;1.438,31;0;;62710;236;Norwegian Air Shuttle
28/06/2016 02.38;27/09/2017 11.36;5.161,97;0;5.161,97;1;2.325,00;0;1;63467;237;Turkish Airlines
28/06/2016 15.14;21/10/2016 08.49;0;13.981,40;13.981,40;4;0;9.300,00;;62414;238;Onur Air
28/06/2016 18.16;27/07/2016 09.12;0;1.860,00;1.860,00;1;0;1.450,00;;;239;British Airways
30/06/2016 12.09;;0;5.983,67;5.983,67;2;0;2.900,00;1;68711;240;EasyJet
04/07/2016 09.17;;0;10.549,22;10.549,22;3;0;6.975,00;1;62415;241;EasyJet
04/07/2016 14.05;12/09/2018 08.44;9.906,00;50;9.956,00;2;4.650,00;0;1;62416;242;Vueling Airlines
05/07/2016 10.47;29/07/2016 08.32;0;4.465,00;4.465,00;1;0;3.485,00;;;243;Qatar Airways
06/07/2016 05.47;26/04/2018 14.42;12.104,68;0;12.104,68;2;6.970,00;0;1;71164;244;Lufthansa
07/07/2016 23.04;30/09/2016 08.21;0;10.367,46;10.367,46;2;0;6.970,00;;62417;245;SAS
08/07/2016 11.22;22/03/2017 10.03;21.400,23;269,43;21.669,66;4;13.940,00;0;1;62523;246;Lufthansa
11/07/2016 08.07;05/10/2016 09.27;0;11.900,00;11.900,00;4;0;9.300,00;;;247;
11/07/2016 10.00;12/07/2016 09.11;0;4.465,00;4.465,00;1;0;3.485,00;;;248;
11/07/2016 11.29;19/08/2016 14.17;5.581,00;0;5.581,00;3;4.463,50;0;;;249;British Airways
11/07/2016 16.12;12/09/2018 08.45;10.065,60;90;10.155,60;2;4.650,00;0;1;62418;250;Vueling Airlines
11/07/2016 17.33;23/01/2018 11.26;0;13.947,22;13.947,22;4;0;9.300,00;1;62419;251;Primera Air Scandinavia A/S
12/07/2016 15.53;;0;7.522,30;7.522,30;2;0;4.650,00;1;62420;252;Norwegian Air Shuttle
13/07/2016 10.29;04/10/2016 08.50;0;11.150,00;11.150,00;5;0;8.650,00;;;253;
13/07/2016 12.14;25/09/2017 10.04;21.558,00;2.332,94;23.890,94;4;14.243,88;0;1;62421;254;British Airways
14/07/2016 12.31;12/09/2018 08.46;13.949,00;50;13.999,00;3;6.975,00;0;1;62422;255;Vueling Airlines
14/07/2016 13.04;24/10/2016 15.16;0;10.529,50;10.529,50;3;0;6.975,00;;62423;256;Onur Air
14/07/2016 14.34;04/10/2016 08.40;0;4.465,00;4.465,00;1;0;3.485,00;;;257;
14/07/2016 15.12;22/07/2016 09.15;3.725,00;0;3.725,00;2;2.980,00;0;;;259;Atlantic Airways
14/07/2016 20.25;;0;3.840,54;3.840,54;2;0;2.900,00;1;63125;260;Wizz Air Hungary
15/07/2016 01.02;07/09/2016 09.44;0;8.930,00;8.930,00;2;0;6.970,00;;;261;Qatar Airways
16/07/2016 07.19;23/01/2018 11.12;0;10.527,53;10.527,53;3;0;6.975,00;1;62561;262;Primera Air Scandinavia A/S
16/07/2016 10.16;05/09/2016 13.47;21.432,00;5.980,00;27.412,00;6;16.068,00;0;;62562;263;SAS
16/07/2016 20.36;10/04/2017 11.20;1.835,88;717,81;2.553,69;1;1.450,00;0;;66390;264;EasyJet
17/07/2016 13.49;31/08/2016 12.56;3.720,00;0;3.720,00;2;2.975,00;0;;;265;Lufthansa
17/07/2016 18.22;17/02/2017 10.19;5.548,60;2.794,08;8.342,68;3;4.419,68;0;;62563;266;Germanwings
18/07/2016 00.43;;0;7.145,31;7.145,31;3;0;4.350,00;1;62564;267;Bulgaria Air
18/07/2016 09.55;;0;7.123,13;7.123,13;3;0;4.350,00;1;62565;268;Bulgaria Air
18/07/2016 11.24;21/11/2016 15.23;14.899,04;0;14.899,04;2;4.768,00;0;;;269;Jet Time A/S
18/07/2016 13.00;19/07/2016 10.26;0;8.930,00;8.930,00;2;0;6.970,00;;;270;
18/07/2016 13.00;29/03/2017 10.47;12.103,51;554,35;12.657,86;2;6.970,00;0;1;62566;271;British Airways
18/07/2016 13.00;19/07/2016 10.27;0;8.930,00;8.930,00;2;0;6.970,00;;;272;
18/07/2016 18.58;23/01/2018 11.26;0;13.936,70;13.936,70;4;0;9.300,00;1;62567;273;Primera Air Scandinavia A/S
19/07/2016 08.34;12/09/2018 08.47;5.863,52;50;5.913,52;1;2.325,00;0;1;62568;274;Vueling Airlines
19/07/2016 08.47;24/10/2016 15.54;0;25.968,15;25.968,15;8;0;18.600,00;;62569;275;Onur Air
19/07/2016 10.11;09/11/2016 10.45;12.051,45;2.600,00;14.651,45;4;9.481,15;0;;63523;276;Jet Time A/S
20/07/2016 11.41;29/01/2018 17.13;19.953,44;0;19.953,44;5;11.625,00;0;1;62662;277;Onur Air
20/07/2016 19.12;04/08/2016 09.24;0;0;0;4;0;;;;278;
23/07/2016 10.44;11/08/2016 08.49;0;4.460,00;4.460,00;2;0;3.460,00;;;279;
23/07/2016 10.48;11/08/2016 08.50;0;4.460,00;4.460,00;2;0;3.460,00;;;280;
23/07/2016 10.50;31/05/2017 09.56;0;6.265,30;6.265,30;2;0;4.650,00;;67251;281;Thomas Cook Airlines Scandinavia
